EpiWeek,Agoro,MadiOpei,Paloga
2007_01,,,
2007_02,,,
2007_03,,,
2007_04,,,
2007_05,,,
2007_06,,,
2007_07,,,
2007_08,,,
2007_09,,,
2007_10,,,
2007_11,,,
2007_12,,,
2007_13,,,
2007_14,,,
2007_15,,,
2007_16
2007_17
2007_18
2007_19
2007_20
2007_21
2007_22
2007_23
2007_24
2007_25
2007_26
2007_27
2007_28
2007_29
2007_30
2007_31
2007_32,,
2007_33,,
2007_34,,
2007_35,,
2007_36,,
2007_37,,
2007_38,,
2007_39,,
2007_40,,
2007_41,,
2007_42,,
2007_43,,
2007_44,,
2007_45,,
2007_46,,
2007_47,,4
2007_48,,18,
2007_49,,12,
2007_50,,12,
2007_51,,9,1
2007_52,,5,
2008_01,,49,2
2008_02,2,28,
2008_03,,25,
2008_04,,36,1
2008_05,3,32,
2008_06,,35,
2008_07,,39,
2008_08,3,42,
2008_09,2,48,
2008_10,14,60,1
2008_11,28,49,2
2008_12,13,34,4
2008_13,23,32,2
2008_14,37,55,13
2008_15,59,64,33
2008_16,34,45,10
2008_17,21,50,18
2008_18,33,47,34
2008_19,69,39,37
2008_20,61,27,75
2008_21,71,24,108
2008_22,90,23,94
2008_23,88,11,134
2008_24,109,11,90
2008_25,198,21,124
2008_26,206,17,118
2008_27,187,15,89
2008_28,150,27,74
2008_29,112,4,61
2008_30,112,9,42
2008_31,60,19,56
2008_32,51,8,27
2008_33,33,10,31
2008_34,42,4,37
2008_35,26,6,15
2008_36,18,3,19
2008_37,26,1,17
2008_38,20,6,8
2008_39,18,3,10
2008_40,16,2,7
2008_41,10,1,5
2008_42,12,,5
2008_43,14,,3
2008_44,9,1,7
2008_45,5,,8
2008_46,8,,5
2008_47,4,,2
2008_48,3,,4
2008_49,1,,
2008_50,3,,2
2008_51,,7,
2008_52,,3,
2009_01,,7,
2009_02,,,
2009_03,,,
2009_04,,,
2009_05,,,1
2009_06,,,
2009_07,,,
2009_08,,,
2009_09,,,2
2009_10,1,,
2009_11,,,
2009_12,,,
2009_13,1,,
2009_14,,,
2009_15,,,
2009_16,,,
2009_17,,,
2009_18,,,
2009_19,,,
2009_20,,,
2009_21,,,
2009_22,,,
2009_23,,,
2009_24
2009_25
2009_26
2009_27
2009_28
2009_29
2009_30
2009_31
2009_32
2009_33
2009_34
2009_35
2009_36
2009_37
2009_38
2009_39
2009_40
2009_41
2009_42
2009_43
2009_44
2009_45
2009_46
2009_47
2009_48
2009_49
2009_50
2009_51
2009_52
2009_53
