Epi week,Agoro,MadiOpei,Paloga,SPHERE
2007_01,,,,0.004
2007_02,,,,0.004
2007_03,,,,0.004
2007_04,,,,0.004
2007_05,,,,0.004
2007_06,,,,0.004
2007_07,,,,0.004
2007_08,,,,0.004
2007_09,,,,0.004
2007_10,,,,0.004
2007_11,,,,0.004
2007_12,,,,0.004
2007_13,,,,0.004
2007_14,,,,0.004
2007_15,,,,0.004
2007_16,,,,0.004
2007_17,,,,0.004
2007_18,,,,0.004
2007_19,,,,0.004
2007_20,,,,0.004
2007_21,,,,0.004
2007_22,,,,0.004
2007_23,,,,0.004
2007_24,,,,0.004
2007_25,,,,0.004
2007_26,,,,0.004
2007_27,,,,0.004
2007_28,,,,0.004
2007_29,,,,0.004
2007_30,,,,0.004
2007_31,,,,0.004
2007_32,,,,0.004
2007_33,,,,0.004
2007_34,,,,0.004
2007_35,,,,0.004
2007_36,,,,0.004
2007_37,,,,0.004
2007_38,,,,0.004
2007_39,,,,0.004
2007_40,,,,0.004
2007_41,,,,0.004
2007_42,,,,0.004
2007_43,,,,0.004
2007_44,,,,0.004
2007_45,,,,0.004
2007_46,,,,0.004
2007_47,,,,0.004
2007_48,,,,0.004
2007_49,,,,0.004
2007_50,,,,0.004
2007_51,,,,0.004
2007_52,,,,0.004
2008_01,,,,0.004
2008_02,,,,0.004
2008_03,,,,0.004
2008_04,,,,0.004
2008_05,,,,0.004
2008_06,,,,0.004
2008_07,,,,0.004
2008_08,,,,0.004
2008_09,,,,0.004
2008_10,,,,0.004
2008_11,,,,0.004
2008_12,,,,0.004
2008_13,,,,0.004
2008_14,,,,0.004
2008_15,,,,0.004
2008_16,,,,0.004
2008_17,,,,0.004
2008_18,,,,0.004
2008_19,0.000119839,,,0.004
2008_20,0.000119839,,,0.004
2008_21,0.000119839,,,0.004
2008_22,0.000119839,,,0.004
2008_23,0.000119839,,,0.004
2008_24,0.000119839,,,0.004
2008_25,0.000119839,,,0.004
2008_26,0.000119839,,,0.004
2008_27,0.000119839,,,0.004
2008_28,0.000299599,,,0.004
2008_29,0.000299599,,0.00104216,0.004
2008_30,0.000479358,,0.00104216,0.004
2008_31,0.001138474,,0.00104216,0.004
2008_32,0.001917431,,0.00104216,0.004
2008_33,0.001917431,,0.00104216,0.004
2008_34,0.001917431,,0.00104216,0.004
2008_35,0.001917431,0.001436506,0.00104216,0.004
2008_36,0.001917431,0.001436506,0.00104216,0.004
2008_37,0.002217029,0.001436506,0.00104216,0.004
2008_38,0.002336869,0.00296878,0.00208432,0.004
2008_39,0.002456708,0.00296878,0.00208432,0.004
2008_40,0.003535263,0.00296878,0.00208432,0.004
2008_41,0.003535263,0.00296878,0.00208432,0.004
2008_42,0.003535263,0.00296878,0.00208432,0.004
2008_43,0.003535263,0.00296878,0.00208432,0.004
2008_44,0.003535263,0.004405286,0.003789673,0.004
2008_45,0.003535263,0.004405286,0.004073899,0.004
2008_46,0.003535263,0.004405286,0.004073899,0.004
2008_47,0.003535263,0.004405286,0.004073899,0.004
2008_48,0.005033255,0.007278299,0.005116059,0.004
2008_49,0.005033255,0.007278299,0.005116059,0.004
2008_50,0.005033255,0.007278299,0.005116059,0.004
2008_51,0.005033255,0.007278299,0.005116059,0.004
2008_52,0.005033255,0.007278299,0.005116059,0.004
2009_01,,,,0.004
2009_02,,,,0.004
2009_03,,,,0.004
2009_04,,,,0.004
2009_05,,,,0.004
2009_06,,,,0.004
2009_07,,,,0.004
2009_08,,,,0.004
2009_09,,,,0.004
2009_10,,,,0.004
2009_11,,,,0.004
2009_12,,,,0.004
2009_13,,,,0.004
2009_14,,,,0.004
2009_15,,,,0.004
2009_16,,,,0.004
2009_17,,,,0.004
2009_18,,,,0.004
2009_19,,,,0.004
2009_20,,,,0.004
2009_21,,,,0.004
2009_22,,,,0.004
2009_23,,,,0.004
2009_24,,,,0.004
2009_25,,,,0.004
2009_26,,,,0.004
2009_27,,,,0.004
2009_28,,,,0.004
2009_29,,,,0.004
2009_30,,,,0.004
2009_31,,,,0.004
2009_32,,,,0.004
2009_33,,,,0.004
2009_34,,,,0.004
2009_35,,,,0.004
2009_36,,,,0.004
2009_37,,,,0.004
2009_38,,,,0.004
2009_39,,,,0.004
2009_40,,,,0.004
2009_41,,,,0.004
2009_42,,,,0.004
2009_43,,,,0.004
2009_44,,,,0.004
2009_45,,,,0.004
2009_46,,,,0.004
2009_47,,,,0.004
2009_48,,,,0.004
2009_49,,,,0.004
2009_50,,,,0.004
2009_51,,,,0.004
2009_52,,,,0.004
2009_53,,,,0.004
